Date,Open,High,Low,Close,Adj Close,Volume
2022-10-17,17680.750000,17929.250000,17624.849609,17908.900391,17908.900391,667000
2022-10-18,18038.000000,18080.050781,17961.050781,18021.300781,18021.300781,793000
2022-10-19,18163.250000,18227.050781,18030.500000,18093.750000,18093.750000,624000
2022-10-20,17980.949219,18086.500000,17912.250000,18057.250000,18057.250000,608300
2022-10-21,18154.849609,18300.849609,18115.050781,18194.099609,18194.099609,1288800
2022-10-24,18442.500000,18476.699219,18393.949219,18424.750000,18424.750000,177200
2022-10-25,18504.050781,18515.449219,18245.099609,18280.900391,18280.900391,931100
2022-10-27,18441.400391,18456.400391,18281.050781,18334.050781,18334.050781,1082900
2022-10-28,18313.650391,18450.750000,18218.599609,18284.300781,18284.300781,888700
2022-10-31,18416.650391,18554.500000,18385.150391,18538.300781,18538.300781,786000
2022-11-01,18641.949219,18734.550781,18558.199219,18606.400391,18606.400391,966500
2022-11-02,18670.000000,18687.400391,18542.150391,18577.150391,18577.150391,669100
2022-11-03,18439.000000,18654.150391,18434.150391,18582.250000,18582.250000,760000
2022-11-04,18568.699219,18692.449219,18515.250000,18599.699219,18599.699219,818400
2022-11-07,18751.550781,18767.900391,18580.750000,18739.250000,18739.250000,1089000
2022-11-09,18804.099609,18823.500000,18646.099609,18689.349609,18689.349609,728200
2022-11-10,18566.599609,18636.099609,18493.250000,18604.599609,18604.599609,860000
2022-11-11,18853.900391,19117.699219,18795.949219,19007.900391,19007.900391,1421500
2022-11-14,19028.900391,19062.000000,18920.250000,18970.849609,18970.849609,667300
2022-11-15,19032.750000,19118.400391,18946.449219,19083.599609,19083.599609,646200
2022-11-16,19054.000000,19192.550781,19013.699219,19148.349609,19148.349609,731300
2022-11-17,19079.099609,19193.400391,19043.800781,19077.000000,19077.000000,754300
2022-11-18,19112.449219,19134.349609,18971.099609,19070.949219,19070.949219,791600
2022-11-21,18993.900391,19024.400391,18902.599609,18949.599609,18949.599609,580400
2022-11-22,18987.699219,19000.400391,18940.199219,18973.199219,18973.199219,611900
2022-11-23,19069.900391,19128.099609,19019.750000,19069.099609,19069.099609,713800
2022-11-24,19124.699219,19318.550781,19096.800781,19277.000000,19277.000000,944000
2022-11-25,19324.900391,19340.949219,19165.250000,19216.900391,19216.900391,1151000
2022-11-28,19096.449219,19257.599609,19091.949219,19200.199219,19200.199219,1009300
2022-11-29,19176.449219,19320.000000,19176.449219,19231.449219,19231.449219,734200
2022-11-30,19266.699219,19407.699219,19197.550781,19358.849609,19358.849609,1035600
2022-12-01,19480.650391,19483.050781,19307.099609,19369.050781,19369.050781,893100
2022-12-02,19232.300781,19292.550781,19193.000000,19249.550781,19249.550781,646900
2022-12-05,19300.400391,19319.349609,19165.150391,19297.300781,19297.300781,729100
2022-12-06,19174.300781,19256.949219,19174.300781,19242.300781,19242.300781,732500
2022-12-07,19247.199219,19303.300781,19139.449219,19180.449219,19180.449219,920000
2022-12-08,19185.150391,19312.699219,19156.550781,19292.400391,19292.400391,972900
2022-12-09,19362.400391,19367.849609,19200.199219,19290.349609,19290.349609,745600
2022-12-12,19191.550781,19357.349609,19148.699219,19313.800781,19313.800781,693600
2022-12-13,19346.250000,19429.949219,19336.449219,19409.849609,19409.849609,731000
2022-12-14,19465.900391,19515.900391,19433.599609,19466.000000,19466.000000,784200
2022-12-15,19421.150391,19477.199219,19171.099609,19216.000000,19216.000000,732100
2022-12-16,19106.000000,19220.349609,19030.750000,19111.949219,19111.949219,711100
2022-12-19,19153.500000,19295.900391,19100.199219,19277.699219,19277.699219,515500
2022-12-20,19149.500000,19245.949219,19068.150391,19222.300781,19222.300781,529800
2022-12-21,19283.400391,19329.000000,18839.000000,18925.199219,18925.199219,693400
2022-12-22,19026.150391,19053.750000,18787.150391,18858.599609,18858.599609,773600
2022-12-23,18675.699219,18779.250000,18571.949219,18595.599609,18595.599609,820600
2022-12-26,null,null,null,null,null,null
2022-12-27,19002.050781,19036.849609,18838.300781,19011.199219,19011.199219,474700
2022-12-28,18956.300781,19042.599609,18940.550781,18982.849609,18982.849609,520000
2022-12-29,18903.150391,19179.150391,18796.949219,19090.599609,19090.599609,853900
2022-12-30,19161.949219,19166.699219,18922.300781,18981.199219,18981.199219,725500
2023-01-02,18982.500000,19123.500000,18937.150391,19074.449219,19074.449219,610114100
2023-01-03,19041.550781,19219.550781,19041.550781,19196.050781,19196.050781,1117600
2023-01-04,19172.599609,19257.050781,18966.750000,19007.000000,19007.000000,858400
2023-01-05,19042.150391,19045.199219,18670.150391,18782.199219,18782.199219,896500
2023-01-06,18808.650391,18816.449219,18500.099609,18603.750000,18603.750000,1013300
2023-01-09,18687.599609,18805.099609,18608.050781,18731.550781,18731.550781,914100
2023-01-10,18758.199219,18771.599609,18412.400391,18474.050781,18474.050781,800500
2023-01-11,18485.800781,18608.949219,18347.300781,18566.599609,18566.599609,739100
2023-01-12,18571.099609,18632.349609,18411.550781,18540.050781,18540.050781,771900
2023-01-13,18567.150391,18682.449219,18453.900391,18646.199219,18646.199219,762500
2023-01-16,18763.099609,18794.849609,18461.050781,18506.250000,18506.250000,684700
2023-01-17,18531.199219,18632.449219,18447.199219,18604.250000,18604.250000,742200
2023-01-18,18617.099609,18785.199219,18560.099609,18753.500000,18753.500000,783300
2023-01-19,18740.150391,18797.000000,18685.000000,18739.699219,18739.699219,587100
2023-01-20,18799.750000,18873.000000,18751.699219,18772.400391,18772.400391,694600
2023-01-23,18897.300781,18961.849609,18843.349609,18887.500000,18887.500000,695300
2023-01-24,18957.550781,19003.800781,18844.900391,18890.000000,18890.000000,802200
2023-01-25,18869.099609,18886.099609,18447.050781,18488.550781,18488.550781,1099700
2023-01-27,18372.650391,18383.550781,17916.550781,18030.849609,18030.849609,1823600
2023-01-30,17836.099609,18175.650391,17707.449219,18091.250000,18091.250000,1551200
2023-01-31,18155.099609,18175.699219,17950.500000,18095.000000,18095.000000,1279200
2023-02-01,18294.900391,18658.650391,17715.650391,18084.800781,18084.800781,1954000
2023-02-02,17839.500000,18085.599609,17747.900391,18022.150391,18022.150391,1390700
2023-02-03,18132.150391,18462.150391,18074.650391,18447.650391,18447.650391,1101900
2023-02-06,18440.800781,18510.199219,18296.849609,18371.599609,18371.599609,883300
2023-02-07,18421.650391,18455.949219,18242.900391,18395.650391,18395.650391,771400
2023-02-08,18415.500000,18566.750000,18405.349609,18485.949219,18485.949219,735400
2023-02-09,18525.449219,18538.000000,18396.650391,18511.800781,18511.800781,724400
2023-02-10,18476.250000,18565.449219,18463.900391,18516.199219,18516.199219,587800
2023-02-13,18504.050781,18540.099609,18342.150391,18428.949219,18428.949219,694900
2023-02-14,18483.849609,18619.500000,18425.599609,18595.699219,18595.699219,821900
2023-02-15,18595.099609,18663.000000,18494.949219,18636.949219,18636.949219,695700
2023-02-16,18714.050781,18738.849609,18541.849609,18587.800781,18587.800781,600600
2023-02-17,18539.150391,18555.800781,18317.400391,18434.099609,18434.099609,627000
2023-02-20,18473.599609,18503.800781,18208.550781,18252.550781,18252.550781,645400
2023-02-21,18295.699219,18378.349609,18215.400391,18262.449219,18262.449219,780800
2023-02-22,18186.050781,18204.550781,17905.199219,17941.250000,17941.250000,800700
2023-02-23,17926.500000,17984.650391,17763.750000,17912.099609,17912.099609,826100
2023-02-24,18022.250000,18036.750000,17827.949219,17864.099609,17864.099609,650800
2023-02-27,17819.550781,18037.000000,17787.099609,18001.400391,18001.400391,666400
2023-02-28,17969.699219,18059.849609,17909.449219,17989.650391,17989.650391,1000100
2023-03-01,18083.500000,18136.099609,18037.949219,18100.300781,18100.300781,782100
2023-03-02,18070.199219,18144.150391,17920.400391,17946.949219,17946.949219,750100
2023-03-03,18070.349609,18322.800781,18024.250000,18264.500000,18264.500000,931600
2023-03-06,18336.349609,18466.199219,18320.199219,18369.550781,18369.550781,1025900
2023-03-08,18316.000000,18410.900391,18272.300781,18393.199219,18393.199219,1160700
2023-03-09,18374.949219,18445.699219,18237.199219,18255.500000,18255.500000,1005100
2023-03-10,18077.300781,18088.000000,17863.199219,17927.750000,17927.750000,956700
2023-03-13,17907.550781,18079.000000,17584.000000,17635.000000,17635.000000,978700
2023-03-14,17617.500000,17717.650391,17456.449219,17545.750000,17545.750000,1157100
2023-03-15,17693.449219,17746.250000,17361.849609,17410.750000,17410.750000,1082900
2023-03-16,17429.949219,17564.449219,17261.300781,17463.900391,17463.900391,1093400
2023-03-17,17577.050781,17728.849609,17386.199219,17671.400391,17671.400391,1207000
2023-03-20,17665.800781,17665.800781,17379.949219,17549.750000,17549.750000,1019400
2023-03-21,17660.300781,17830.349609,17593.699219,17806.800781,17806.800781,1176000
2023-03-22,17869.400391,17895.500000,17783.250000,17863.449219,17863.449219,0
2023-03-23,17790.699219,17967.050781,17716.250000,17746.550781,17746.550781,969300
2023-03-24,17688.650391,17788.449219,17579.949219,17623.400391,17623.400391,959900
2023-03-27,17659.800781,17727.949219,17555.500000,17616.050781,17616.050781,969100
2023-03-28,17668.449219,17698.250000,17589.150391,17664.449219,17664.449219,1052300
2023-03-29,17702.949219,17856.400391,17693.949219,17793.849609,17793.849609,1331600
2023-03-31,17924.150391,18090.250000,17903.699219,18058.699219,18058.699219,1203600
2023-04-03,18096.650391,18185.150391,18041.750000,18164.750000,18164.750000,1107600
2023-04-05,18221.250000,18390.400391,18197.599609,18372.150391,18372.150391,1107400
2023-04-06,18345.650391,18510.550781,18303.800781,18462.150391,18462.150391,1822700
2023-04-10,18487.400391,18493.349609,18348.199219,18390.699219,18390.699219,1404300
2023-04-11,18518.699219,18606.900391,18447.400391,18588.550781,18588.550781,1654300
2023-04-12,18618.449219,18726.750000,18587.050781,18702.050781,18702.050781,1092000
2023-04-13,18718.900391,18878.300781,18661.900391,18854.300781,18854.300781,1478600
2023-04-17,19103.500000,19103.500000,18665.050781,18827.250000,18827.250000,1485500
2023-04-18,18890.000000,18896.400391,18718.349609,18764.599609,18764.599609,1348000
2023-04-19,18783.349609,18794.449219,18704.199219,18768.650391,18768.650391,1113500
2023-04-20,18793.500000,18851.349609,18733.750000,18790.300781,18790.300781,1033500
2023-04-21,18786.349609,18843.300781,18671.550781,18753.750000,18753.750000,1135500
2023-04-24,18910.400391,19006.349609,18822.650391,18992.949219,18992.949219,1456200
2023-04-25,19010.500000,19050.250000,18934.300781,18961.849609,18961.849609,1897200
2023-04-26,18929.150391,19024.000000,18859.849609,19003.000000,19003.000000,1230300
2023-04-27,18976.699219,19118.750000,18970.699219,19097.150391,19097.150391,1317200
2023-04-28,19109.449219,19189.050781,18977.750000,19162.550781,19162.550781,1485400
